cleaned_question,cleaned_answer
do you have fresh banana in stock,yes fresh banana be available daily in the fruit section
how much be a kilogram of tomato,a kilogram of tomato currently cost around kes 120
do you sell local vegetable like sukuma wiki,yes we stock sukuma wiki and other local vegetable
be your milk product source locally,most of our milk product be source from kenyan dairy farm
what be the price for cook oil,price for cook oil range from kes 350 to kes 1500 depend on the brand and size
be there a discount on maize flour,yes we currently have a discount on select brand of maize flour
do you stock fresh bread daily,yes fresh bread be bake and stock every morning
how long do egg last once buy,egg usually have a shelf life of up to 3 week when refrigerate
what be the brand available for sugar,we offer brand like mumias kabra and sunsweet for sugar
be the rice sell in 1 kg or 2 kg pack,rice be available in 1 kg 2 kg and large familysize pack
do you sell smart tv,yes we have smart tv from brand like lg samsung and vision plus
what be the price of a 32inch tv,a 32inch tv range from kes 14000 to kes 20000 depend on the brand
be there warranty on phone,yes most electronic come with a 1year manufacturer ’s warranty
do you have bluetooth speaker,yes we have bluetooth speaker in various brand and size
can I return a faulty iron box,yes faulty electronic can be return with a receipt within 7 day
be your electronic genuine,all our electronic be source directly from authorized distributor
how much be a samsung fridge,samsung fridge start at around kes 60000 depend on the model
do you deliver electronic,yes we offer delivery for electronic within nairobi and nearby town
do you have laptop on sale,yes laptop from hp lenovo and dell be available
what brand of microwave be available,brand like samsung ramton and bruhm be available for microwave
do you sell nonstick pan,yes we sell nonstick pan from brand like tefal and signature
be there offer on blender,yes we have discount on select blender during promotion
how much be a gas cooker,gas cooker range from kes 6000 to kes 20000 depend on type
can I get cutlery set at carrefour,yes we have cutlery set start from kes 1200
do you have pressure cooker,yes pressure cooker from prestige and other brand be available
what size be your cooking pot,cook pot range in size from 16 cm to 30 cm diameter
be dish rack available in store,yes dish rack be available in plastic stainless steel and multiti type
how much be electric kettle,electric kettle range from kes 1200 to kes 4000
do you stock storage container,yes we have plastic glass and metal food storage container
be there a sale on tefal item,yes we often have offer on tefal and other cookware brand
do you have dove shower gel,yes we stock dove shower gel in various size
