question,answer,cleaned_question,cleaned_answer
Do you have fresh bananas in stock?,"Yes, fresh bananas are available daily in the fruits section.",do you have fresh banana in stock,yes fresh banana be available daily in the fruit section
How much is a kilogram of tomatoes?,A kilogram of tomatoes currently costs around KES 120.,how much be a kilogram of tomato,a kilogram of tomato currently cost around kes 120
Do you sell local vegetables like sukuma wiki?,"Yes, we stock sukuma wiki and other local vegetables.",do you sell local vegetable like sukuma wiki,yes we stock sukuma wiki and other local vegetable
Are your milk products sourced locally?,Most of our milk products are sourced from Kenyan dairy farms.,be your milk product source locally,most of our milk product be source from kenyan dairy farm
What are the prices for cooking oil?,"Prices for cooking oil range from KES 350 to KES 1,500 depending on the brand and size.",what be the price for cook oil,price for cook oil range from kes 350 to kes 1500 depend on the brand and size
Is there a discount on maize flour?,"Yes, we currently have a discount on select brands of maize flour.",be there a discount on maize flour,yes we currently have a discount on select brand of maize flour
Do you stock fresh bread daily?,"Yes, fresh bread is baked and stocked every morning.",do you stock fresh bread daily,yes fresh bread be bake and stock every morning
How long do eggs last once bought?,Eggs usually have a shelf life of up to 3 weeks when refrigerated.,how long do egg last once buy,egg usually have a shelf life of up to 3 week when refrigerate
What are the brands available for sugar?,"We offer brands like Mumias, Kabras, and SunSweet for sugar.",what be the brand available for sugar,we offer brand like mumias kabra and sunsweet for sugar
Is the rice sold in 1kg or 2kg packs?,"Rice is available in 1kg, 2kg, and larger family-size packs.",be the rice sell in 1 kg or 2 kg pack,rice be available in 1 kg 2 kg and large familysize pack
Do you sell smart TVs?,"Yes, we have smart TVs from brands like LG, Samsung, and Vision Plus.",do you sell smart tv,yes we have smart tv from brand like lg samsung and vision plus
What is the price of a 32-inch TV?,"A 32-inch TV ranges from KES 14,000 to KES 20,000 depending on the brand.",what be the price of a 32inch tv,a 32inch tv range from kes 14000 to kes 20000 depend on the brand
Is there warranty on phones?,"Yes, most electronics come with a 1-year manufacturer’s warranty.",be there warranty on phone,yes most electronic come with a 1year manufacturer ’s warranty
Do you have Bluetooth speakers?,"Yes, we have Bluetooth speakers in various brands and sizes.",do you have bluetooth speaker,yes we have bluetooth speaker in various brand and size
Can I return a faulty iron box?,"Yes, faulty electronics can be returned with a receipt within 7 days.",can I return a faulty iron box,yes faulty electronic can be return with a receipt within 7 day
Are your electronics genuine?,All our electronics are sourced directly from authorized distributors.,be your electronic genuine,all our electronic be source directly from authorized distributor
How much is a Samsung fridge?,"Samsung fridges start at around KES 60,000 depending on the model.",how much be a samsung fridge,samsung fridge start at around kes 60000 depend on the model
Do you deliver electronics?,"Yes, we offer delivery for electronics within Nairobi and nearby towns.",do you deliver electronic,yes we offer delivery for electronic within nairobi and nearby town
Do you have laptops on sale?,"Yes, laptops from HP, Lenovo, and Dell are available.",do you have laptop on sale,yes laptop from hp lenovo and dell be available
What brands of microwaves are available?,"Brands like Samsung, Ramtons, and Bruhm are available for microwaves.",what brand of microwave be available,brand like samsung ramton and bruhm be available for microwave
Do you sell non-stick pans?,"Yes, we sell non-stick pans from brands like Tefal and Signature.",do you sell nonstick pan,yes we sell nonstick pan from brand like tefal and signature
Are there offers on blenders?,"Yes, we have discounts on select blenders during promotions.",be there offer on blender,yes we have discount on select blender during promotion
How much is a gas cooker?,"Gas cookers range from KES 6,000 to KES 20,000 depending on type.",how much be a gas cooker,gas cooker range from kes 6000 to kes 20000 depend on type
Can I get cutlery sets at Carrefour?,"Yes, we have cutlery sets starting from KES 1,200.",can I get cutlery set at carrefour,yes we have cutlery set start from kes 1200
Do you have pressure cookers?,"Yes, pressure cookers from Prestige and other brands are available.",do you have pressure cooker,yes pressure cooker from prestige and other brand be available
What sizes are your cooking pots?,Cooking pots range in size from 16cm to 30cm diameters.,what size be your cooking pot,cook pot range in size from 16 cm to 30 cm diameter
Are dish racks available in store?,"Yes, dish racks are available in plastic, stainless steel, and multi-tier types.",be dish rack available in store,yes dish rack be available in plastic stainless steel and multiti type
How much are electric kettles?,"Electric kettles range from KES 1,200 to KES 4,000.",how much be electric kettle,electric kettle range from kes 1200 to kes 4000
Do you stock storage containers?,"Yes, we have plastic, glass, and metal food storage containers.",do you stock storage container,yes we have plastic glass and metal food storage container
Is there a sale on Tefal items?,"Yes, we often have offers on Tefal and other cookware brands.",be there a sale on tefal item,yes we often have offer on tefal and other cookware brand
Do you have Dove shower gel?,"Yes, we stock Dove shower gel in various sizes.",do you have dove shower gel,yes we stock dove shower gel in various size
How much is the Nivea body lotion?,Nivea body lotion prices start at around KES 380.,how much be the nivea body lotion,nivea body lotion price start at around kes 380
Are sanitary pads on discount?,"Yes, brands like Always, Softcare, and Kotex are frequently discounted.",be sanitary pad on discount,yes brand like always softcare and kotex be frequently discount
What deodorants are available?,"We have deodorants from Nivea, Axe, Dove, and Rexona.",what deodorant be available,we have deodorant from nivea axe dove and rexona
Do you stock baby wipes?,"Yes, baby wipes from Huggies, Softcare, and Pampers are available.",do you stock baby wipe,yes baby wipe from huggie softcare and pamper be available
Can I find Gillette razors?,"Yes, Gillette razors and shaving kits are in stock.",can I find gillette razor,yes gillette razor and shaving kit be in stock
How much is Colgate toothpaste?,Colgate toothpaste ranges from KES 100 to KES 300 depending on size.,how much be colgate toothpaste,colgate toothpaste range from kes 100 to kes 300 depend on size
Is there baby oil in stock?,"Yes, baby oil from Johnson’s and other brands is stocked.",be there baby oil in stock,yes baby oil from johnson ’s and other brand be stock
Do you sell adult diapers?,"Yes, adult diapers are available in various sizes.",do you sell adult diaper,yes adult diaper be available in various size
Are all shampoos paraben-free?,We have both paraben-free and regular shampoos; labels are clearly marked.,be all shampoo parabenfree,we have both parabenfree and regular shampoo label be clearly marked
Do you bake fresh bread daily?,"Yes, our in-store bakery prepares fresh bread every morning.",do you bake fresh bread daily,yes our instore bakery prepare fresh bread every morning
How much is a croissant?,Croissants are priced around KES 70 each.,how much be a croissant,croissant be price around kes 70 each
Are your cakes made in-house?,"Yes, most cakes are prepared fresh in-house by our bakery team.",be your cake make inhouse,yes most cake be prepare fresh inhouse by our bakery team
Do you have gluten-free options?,"Yes, we offer gluten-free options on select products.",do you have glutenfree option,yes we offer glutenfree option on select product
Can I pre-order a birthday cake?,"Yes, you can pre-order birthday cakes with 24-hour notice.",can I preorder a birthday cake,yes you can preorder birthday cake with 24hour notice
Do you sell muffins?,"Yes, muffins are available in chocolate, vanilla, and blueberry flavors.",do you sell muffin,yes muffin be available in chocolate vanilla and blueberry flavor
What are the prices of donuts?,Donuts are sold in packs and individually from KES 60 each.,what be the price of donut,donut be sell in pack and individually from kes 60 each
Is brown bread available?,"Yes, brown bread is stocked fresh every day.",be brown bread available,yes brown bread be stock fresh every day
